x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-3.934642065050843e-06,-1.0592235344509927e-06,3051550706.719983,-57194651972.748375,23570113854.85568,104375791009.54803,143270370368.27188,-37116047399.17753,-141185125141.0319,175899019732.66086,-733487317332.3751,-234444273226.1878,-1359877282779.2854,-378151126346.081,-1081468632970.0848,-2626158260711.224,-3128193387649.8525,3295255238894.815
-4.060542681402348e-06,-1.0931165510225395e-06,3051555488.918238,-57194651717.59969,23570110437.89558,104375791781.16496,143270371115.35767,-37116044515.37729,-141185127022.83444,175899018222.23438,-733487316934.756,-234444274470.1874,-1359877282521.0183,-378151127274.84045,-1081468632340.3883,-2626158260970.537,-3128193388043.6646,3295255238520.9683
-4.188425984673579e-06,-1.1275433158139261e-06,3051560271.116472,-57194651462.45061,23570107020.935455,104375792552.78178,143270371862.4434,-37116041631.577034,-141185128904.637,175899016711.8079,-733487316537.1368,-234444275714.187,-1359877282262.7512,-378151128203.5999,-1081468631710.6918,-2626158261229.85,-3128193388437.4766,3295255238147.1216
-4.3182919748660265e-06,-1.1625038288229008e-06,3051565053.314684,-57194651207.301125,23570103603.975307,104375793324.3985,143270372609.52908,-37116038747.776764,-141185130786.4395,175899015201.38138,-733487316139.5177,-234444276958.1866,-1359877282004.4841,-378151129132.3594,-1081468631080.9952,-2626158261489.163,-3128193388831.2886,3295255237773.275
-4.450140651981181e-06,-1.1979980900472116e-06,3051569835.5128746,-57194650952.15124,23570100187.015133,104375794096.01509,143270373356.61472,-37116035863.97648,-141185132668.24203,175899013690.95483,-733487315741.8986,-234444278202.18622,-1359877281746.217,-378151130061.11884,-1081468630451.2987,-2626158261748.476,-3128193389225.1006,3295255237399.428
-4.583972016020532e-06,-1.234026099484607e-06,3051574617.711044,-57194650697.000946,23570096770.05493,104375794867.63158,143270374103.7003,-37116032980.17618,-141185134550.04453,175899012180.5283,-733487315344.2794,-234444279446.18582,-1359877281487.95,-378151130989.8783,-1081468629821.6022,-2626158262007.789,-3128193389618.9126,3295255237025.5815
-4.719786066985569e-06,-1.2705878571328347e-06,3051579399.9091916,-57194650441.85026,23570093353.094707,104375795639.24794,143270374850.7858,-37116030096.37586,-141185136431.84702,175899010670.1017,-733487314946.6603,-234444280690.18542,-1359877281229.6829,-378151131918.63776,-1081468629191.9056,-2626158262267.102,-3128193390012.7246,3295255236651.735
-4.857582804877781e-06,-1.3076833629896434e-06,3051584182.107318,-57194650186.699165,23570089936.134457,104375796410.8642,143270375597.87125,-37116027212.57553,-141185138313.64948,175899009159.6751,-733487314549.0411,-234444281934.18503,-1359877280971.4158,-378151132847.3972,-1081468628562.2091,-2626158262526.415,-3128193390406.5366,3295255236277.888
-4.997362229698659e-06,-1.3453126170527811e-06,3051588964.305423,-57194649931.54767,23570086519.174183,104375797182.48035,143270376344.95663,-37116024328.775185,-141185140195.45193,175899007649.2485,-733487314151.422,-234444283178.18463,-1359877280713.1487,-378151133776.1567,-1081468627932.5126,-2626158262785.728,-3128193390800.3486,3295255235904.0415
-5.139124341449693e-06,-1.3834756193199959e-06,3051593746.503506,-57194649676.39577,23570083102.213882,104375797954.09637,143270377092.04196,-37116021444.97482,-141185142077.25436,175899006138.82187,-733487313753.8029,-234444284422.18423,-1359877280454.8816,-378151134704.91614,-1081468627302.816,-2626158263045.041,-3128193391194.1606,3295255235530.195
